Time(s),CH3V
-5.000000e-07,4.053333e-05
-4.990000e-07,4.780000e-05
-4.980000e-07,5.100000e-05
-4.970000e-07,5.053333e-05
-4.960000e-07,5.253333e-05
-4.950000e-07,4.993333e-05
-4.940000e-07,5.106667e-05
-4.930000e-07,5.180000e-05
-4.920000e-07,6.113333e-05
-4.910000e-07,6.213333e-05
-4.900000e-07,5.313333e-05
-4.890000e-07,4.953333e-05
-4.880000e-07,4.273333e-05
-4.870000e-07,4.753333e-05
-4.860000e-07,4.253333e-05
-4.850000e-07,4.333333e-05
-4.840000e-07,4.626666e-05
-4.830000e-07,5.186666e-05
-4.820000e-07,5.433333e-05
-4.810000e-07,3.693333e-05
-4.800000e-07,3.193333e-05
-4.790000e-07,4.586667e-05
-4.780000e-07,5.560000e-05
-4.770000e-07,5.160000e-05
-4.760000e-07,4.193333e-05
-4.750000e-07,4.273333e-05
-4.740000e-07,4.900000e-05
-4.730000e-07,5.626666e-05
-4.720000e-07,5.593333e-05
-4.710000e-07,4.580000e-05
-4.700000e-07,4.680000e-05
-4.690000e-07,5.960000e-05
-4.680000e-07,4.640000e-05
-4.670000e-07,4.526666e-05
-4.660000e-07,5.333333e-05
-4.650000e-07,5.373333e-05
-4.640000e-07,4.900000e-05
-4.630000e-07,5.273333e-05
-4.620000e-07,5.833333e-05
-4.610000e-07,4.713333e-05
-4.600000e-07,4.046666e-05
-4.590000e-07,5.160000e-05
-4.580000e-07,5.286666e-05
-4.570000e-07,4.600000e-05
-4.560000e-07,5.140000e-05
-4.550000e-07,5.246666e-05
-4.540000e-07,4.500000e-05
-4.530000e-07,4.693333e-05
-4.520000e-07,5.573333e-05
-4.510000e-07,5.646667e-05
-4.500000e-07,5.480000e-05
-4.490000e-07,5.733333e-05
-4.480000e-07,5.006666e-05
-4.470000e-07,4.260000e-05
-4.460000e-07,5.346667e-05
-4.450000e-07,5.800000e-05
-4.440000e-07,5.266667e-05
-4.430000e-07,5.466667e-05
-4.420000e-07,5.680000e-05
-4.410000e-07,4.833333e-05
-4.400000e-07,5.653333e-05
-4.390000e-07,5.073333e-05
-4.380000e-07,4.473333e-05
-4.370000e-07,4.313333e-05
-4.360000e-07,5.206667e-05
-4.350000e-07,5.120000e-05
-4.340000e-07,4.666666e-05
-4.330000e-07,5.406667e-05
-4.320000e-07,5.586667e-05
-4.310000e-07,5.853333e-05
-4.300000e-07,5.806666e-05
-4.290000e-07,5.720000e-05
-4.280000e-07,5.140000e-05
-4.270000e-07,5.706667e-05
-4.260000e-07,6.806666e-05
-4.250000e-07,6.406666e-05
-4.240000e-07,5.693333e-05
-4.230000e-07,5.793333e-05
-4.220000e-07,5.973333e-05
-4.210000e-07,6.600000e-05
-4.200000e-07,7.093333e-05
-4.190000e-07,6.006666e-05
-4.180000e-07,5.546667e-05
-4.170000e-07,5.233333e-05
-4.160000e-07,4.213333e-05
-4.150000e-07,3.840000e-05
-4.140000e-07,4.600000e-05
-4.130000e-07,5.393333e-05
-4.120000e-07,5.813333e-05
-4.110000e-07,6.346666e-05
