Time(s),CH1V
-3.130000e-07,1.157333e-04
-3.120000e-07,1.194000e-04
-3.110000e-07,1.182000e-04
-3.100000e-07,1.216000e-04
-3.090000e-07,1.305333e-04
-3.080000e-07,1.190000e-04
-3.070000e-07,1.180667e-04
-3.060000e-07,1.298000e-04
-3.050000e-07,1.198000e-04
-3.040000e-07,1.138667e-04
-3.030000e-07,1.209333e-04
-3.020000e-07,1.206667e-04
-3.010000e-07,1.154667e-04
-3.000000e-07,1.190667e-04
-2.990000e-07,1.292000e-04
-2.980000e-07,1.254000e-04
-2.970000e-07,1.287333e-04
-2.960000e-07,1.457333e-04
-2.950000e-07,1.340667e-04
-2.940000e-07,1.270000e-04
-2.930000e-07,1.346000e-04
-2.920000e-07,1.341333e-04
-2.910000e-07,1.354000e-04
-2.900000e-07,1.416667e-04
-2.890000e-07,1.372667e-04
-2.880000e-07,1.364000e-04
-2.870000e-07,1.392667e-04
-2.860000e-07,1.359333e-04
-2.850000e-07,1.239333e-04
-2.840000e-07,1.221333e-04
-2.830000e-07,1.174000e-04
-2.820000e-07,1.151333e-04
-2.810000e-07,1.255333e-04
-2.800000e-07,1.284000e-04
-2.790000e-07,1.188000e-04
-2.780000e-07,1.312667e-04
-2.770000e-07,1.402000e-04
-2.760000e-07,1.197333e-04
-2.750000e-07,1.236000e-04
-2.740000e-07,1.313333e-04
-2.730000e-07,1.197333e-04
-2.720000e-07,1.124000e-04
-2.710000e-07,1.246667e-04
-2.700000e-07,1.205333e-04
-2.690000e-07,1.172000e-04
-2.680000e-07,1.218000e-04
-2.670000e-07,1.214667e-04
-2.660000e-07,1.131333e-04
-2.650000e-07,1.108000e-04
-2.640000e-07,1.240000e-04
-2.630000e-07,1.310667e-04
-2.620000e-07,1.254000e-04
-2.610000e-07,1.149333e-04
-2.600000e-07,1.184000e-04
-2.590000e-07,1.296000e-04
-2.580000e-07,1.325333e-04
-2.570000e-07,1.229333e-04
-2.560000e-07,1.282000e-04
-2.550000e-07,1.358000e-04
-2.540000e-07,1.300000e-04
-2.530000e-07,1.194000e-04
-2.520000e-07,1.301333e-04
-2.510000e-07,1.367333e-04
-2.500000e-07,1.241333e-04
-2.490000e-07,1.220000e-04
-2.480000e-07,1.262667e-04
-2.470000e-07,1.255333e-04
-2.460000e-07,1.258000e-04
-2.450000e-07,1.339333e-04
-2.440000e-07,1.250667e-04
-2.430000e-07,1.065333e-04
-2.420000e-07,1.224000e-04
-2.410000e-07,1.292000e-04
-2.400000e-07,1.130000e-04
-2.390000e-07,1.238667e-04
-2.380000e-07,1.288000e-04
-2.370000e-07,1.213333e-04
-2.360000e-07,1.298667e-04
-2.350000e-07,1.368667e-04
-2.340000e-07,1.315333e-04
-2.330000e-07,1.264667e-04
-2.320000e-07,1.266667e-04
-2.310000e-07,1.311333e-04
-2.300000e-07,1.398667e-04
-2.290000e-07,1.445333e-04
-2.280000e-07,1.438667e-04
-2.270000e-07,1.322667e-04
-2.260000e-07,1.208000e-04
-2.250000e-07,1.246000e-04
-2.240000e-07,1.296000e-04
-2.230000e-07,1.428000e-04
-2.220000e-07,1.397333e-04
-2.210000e-07,1.307333e-04
-2.200000e-07,1.342667e-04
-2.190000e-07,1.250667e-04
-2.180000e-07,1.144000e-04
-2.170000e-07,1.092000e-04
-2.160000e-07,1.166000e-04
-2.150000e-07,1.286667e-04
-2.140000e-07,1.304000e-04
-2.130000e-07,1.282000e-04
-2.120000e-07,1.137333e-04
-2.110000e-07,1.205333e-04
-2.100000e-07,1.258667e-04
-2.090000e-07,1.152667e-04
-2.080000e-07,1.207333e-04
-2.070000e-07,1.242000e-04
-2.060000e-07,9.866666e-05
-2.050000e-07,9.293333e-05
-2.040000e-07,1.136667e-04
-2.030000e-07,1.110000e-04
-2.020000e-07,1.044667e-04
-2.010000e-07,1.176000e-04
-2.000000e-07,1.195333e-04
-1.990000e-07,1.042000e-04
-1.980000e-07,9.400000e-05
-1.970000e-07,1.061333e-04
-1.960000e-07,1.076000e-04
-1.950000e-07,9.233333e-05
-1.940000e-07,9.793333e-05
-1.930000e-07,1.039333e-04
-1.920000e-07,1.148000e-04
-1.910000e-07,1.202000e-04
-1.900000e-07,1.114667e-04
-1.890000e-07,1.095333e-04
-1.880000e-07,1.224667e-04
-1.870000e-07,1.158667e-04
-1.860000e-07,1.027333e-04
-1.850000e-07,1.114667e-04
-1.840000e-07,1.222000e-04
-1.830000e-07,1.135333e-04
-1.820000e-07,1.066667e-04
-1.810000e-07,1.072667e-04
-1.800000e-07,1.100000e-04
-1.790000e-07,1.239333e-04
-1.780000e-07,1.231333e-04
-1.770000e-07,1.044667e-04
-1.760000e-07,1.016667e-04
-1.750000e-07,1.141333e-04
-1.740000e-07,1.239333e-04
-1.730000e-07,1.193333e-04
-1.720000e-07,1.197333e-04
-1.710000e-07,1.270000e-04
-1.700000e-07,1.307333e-04
-1.690000e-07,1.317333e-04
-1.680000e-07,1.340667e-04
-1.670000e-07,1.266667e-04
-1.660000e-07,1.244000e-04
-1.650000e-07,1.296667e-04
-1.640000e-07,1.306667e-04
-1.630000e-07,1.317333e-04
-1.620000e-07,1.375333e-04
-1.610000e-07,1.311333e-04
-1.600000e-07,1.422000e-04
-1.590000e-07,1.350667e-04
-1.580000e-07,1.135333e-04
-1.570000e-07,1.104000e-04
-1.560000e-07,1.208000e-04
-1.550000e-07,1.236667e-04
-1.540000e-07,1.275333e-04
-1.530000e-07,1.358000e-04
-1.520000e-07,1.346000e-04
-1.510000e-07,1.296667e-04
-1.500000e-07,1.197333e-04
-1.490000e-07,1.146667e-04
-1.480000e-07,1.206667e-04
-1.470000e-07,1.265333e-04
-1.460000e-07,1.346667e-04
-1.450000e-07,1.400000e-04
-1.440000e-07,1.350667e-04
-1.430000e-07,1.345333e-04
-1.420000e-07,1.230667e-04
-1.410000e-07,1.177333e-04
-1.400000e-07,1.310667e-04
-1.390000e-07,1.182000e-04
-1.380000e-07,1.132000e-04
-1.370000e-07,1.270000e-04
-1.360000e-07,1.280000e-04
-1.350000e-07,1.194667e-04
-1.340000e-07,1.270667e-04
-1.330000e-07,1.316667e-04
-1.320000e-07,1.224000e-04
-1.310000e-07,1.244000e-04
-1.300000e-07,1.326667e-04
-1.290000e-07,1.309333e-04
-1.280000e-07,1.314000e-04
-1.270000e-07,1.379333e-04
-1.260000e-07,1.251333e-04
-1.250000e-07,1.214000e-04
-1.240000e-07,1.339333e-04
-1.230000e-07,1.325333e-04
-1.220000e-07,1.240667e-04
-1.210000e-07,1.326000e-04
-1.200000e-07,1.423333e-04
-1.190000e-07,1.322667e-04
-1.180000e-07,1.262000e-04
-1.170000e-07,1.402000e-04
-1.160000e-07,1.336667e-04
-1.150000e-07,1.249333e-04
-1.140000e-07,1.344000e-04
-1.130000e-07,1.340667e-04
-1.120000e-07,1.318000e-04
-1.110000e-07,1.418000e-04
-1.100000e-07,1.337333e-04
-1.090000e-07,1.262667e-04
-1.080000e-07,1.338667e-04
-1.070000e-07,1.414000e-04
-1.060000e-07,1.290000e-04
-1.050000e-07,1.336000e-04
-1.040000e-07,1.436000e-04
-1.030000e-07,1.368667e-04
-1.020000e-07,1.360000e-04
-1.010000e-07,1.331333e-04
-1.000000e-07,1.313333e-04
-9.900000e-08,1.296000e-04
-9.800000e-08,1.364667e-04
-9.700000e-08,1.396000e-04
-9.600000e-08,1.371333e-04
-9.500000e-08,1.422667e-04
-9.400000e-08,1.390667e-04
-9.300000e-08,1.296000e-04
-9.200000e-08,1.288667e-04
-9.100000e-08,1.143333e-04
-9.000000e-08,1.113333e-04
-8.900000e-08,1.254000e-04
-8.800000e-08,1.253333e-04
-8.700000e-08,1.165333e-04
-8.600000e-08,1.134667e-04
-8.500000e-08,1.254000e-04
-8.400000e-08,1.314667e-04
-8.300000e-08,1.265333e-04
-8.200000e-08,1.226000e-04
-8.100000e-08,1.194000e-04
-8.000000e-08,1.364000e-04
-7.900000e-08,1.318000e-04
-7.800000e-08,1.132667e-04
-7.700000e-08,9.253333e-05
-7.600000e-08,8.726666e-05
-7.500000e-08,9.733333e-05
-7.400000e-08,8.586667e-05
-7.300000e-08,8.446666e-05
-7.200000e-08,9.400000e-05
-7.100000e-08,8.906666e-05
-7.000000e-08,9.073333e-05
-6.900000e-08,9.160000e-05
-6.800000e-08,8.566667e-05
-6.700000e-08,1.004667e-04
-6.600000e-08,1.089333e-04
-6.500000e-08,1.006000e-04
-6.400000e-08,1.062000e-04
-6.300000e-08,1.140667e-04
-6.200000e-08,1.060000e-04
-6.100000e-08,1.075333e-04
-6.000000e-08,1.190000e-04
-5.900000e-08,1.199333e-04
-5.800000e-08,1.129333e-04
-5.700000e-08,1.246000e-04
-5.600000e-08,1.243333e-04
-5.500000e-08,9.673333e-05
-5.400000e-08,1.004000e-04
-5.300000e-08,1.160000e-04
-5.200000e-08,1.091333e-04
-5.100000e-08,1.086000e-04
-5.000000e-08,1.170000e-04
-4.900000e-08,1.187333e-04
-4.800000e-08,1.201333e-04
-4.700000e-08,1.268000e-04
-4.600000e-08,1.157333e-04
-4.500000e-08,1.106667e-04
-4.400000e-08,1.111333e-04
-4.300000e-08,1.076000e-04
-4.200000e-08,1.073333e-04
-4.100000e-08,1.047333e-04
-4.000000e-08,7.900000e-05
-3.900000e-08,6.960000e-05
-3.800000e-08,7.920000e-05
-3.700000e-08,8.413333e-05
-3.600000e-08,9.213333e-05
-3.500000e-08,9.220000e-05
-3.400000e-08,8.700000e-05
-3.300000e-08,6.840000e-05
-3.200000e-08,5.906666e-05
-3.100000e-08,7.153333e-05
-3.000000e-08,7.426667e-05
-2.900000e-08,7.493333e-05
-2.800000e-08,8.393333e-05
-2.700000e-08,7.933333e-05
-2.600000e-08,6.873333e-05
-2.500000e-08,8.286667e-05
-2.400000e-08,9.373333e-05
-2.300000e-08,9.300000e-05
-2.200000e-08,9.826667e-05
-2.100000e-08,1.033333e-04
-2.000000e-08,9.006666e-05
-1.900000e-08,6.713333e-05
-1.800000e-08,6.180000e-05
-1.700000e-08,6.113333e-05
-1.600000e-08,6.100000e-05
-1.500000e-08,5.846667e-05
-1.400000e-08,4.826667e-05
-1.300000e-08,4.593333e-05
-1.200000e-08,5.173333e-05
-1.100000e-08,5.400000e-05
-1.000000e-08,5.253333e-05
-9.000000e-09,6.173334e-05
-8.000000e-09,7.140000e-05
-7.000000e-09,5.606667e-05
-6.000000e-09,3.686667e-05
-5.000000e-09,3.653333e-05
-4.000000e-09,3.673333e-05
-3.000000e-09,3.446667e-05
-2.000000e-09,-1.133333e-06
-1.000000e-09,-2.608000e-04
3.889817e-21,-8.413333e-04
1.000000e-09,-1.238600e-03
2.000000e-09,-1.194200e-03
3.000000e-09,-1.005000e-03
4.000000e-09,-8.982000e-04
5.000000e-09,-8.622666e-04
6.000000e-09,-8.280667e-04
7.000000e-09,-7.884667e-04
8.000000e-09,-7.386666e-04
9.000000e-09,-6.806666e-04
1.000000e-08,-6.291333e-04
1.100000e-08,-5.864666e-04
1.200000e-08,-5.510000e-04
1.300000e-08,-5.242000e-04
1.400000e-08,-4.722000e-04
1.500000e-08,-4.422000e-04
1.600000e-08,-4.243333e-04
1.700000e-08,-3.862666e-04
1.800000e-08,-3.558667e-04
1.900000e-08,-3.248666e-04
2.000000e-08,-2.992000e-04
2.100000e-08,-3.048000e-04
2.200000e-08,-3.017333e-04
2.300000e-08,-2.640666e-04
2.400000e-08,-2.376000e-04
2.500000e-08,-2.329333e-04
2.600000e-08,-2.260667e-04
2.700000e-08,-2.110667e-04
2.800000e-08,-1.985333e-04
2.900000e-08,-1.957333e-04
3.000000e-08,-1.900667e-04
3.100000e-08,-1.822667e-04
3.200000e-08,-1.740667e-04
3.300000e-08,-1.519333e-04
3.400000e-08,-1.368000e-04
3.500000e-08,-1.238667e-04
3.600000e-08,-1.027333e-04
3.700000e-08,-8.886666e-05
3.800000e-08,-8.320000e-05
3.900000e-08,-6.813333e-05
4.000000e-08,-5.533333e-05
4.100000e-08,-4.806666e-05
4.200000e-08,-4.266667e-05
4.300000e-08,-3.926667e-05
4.400000e-08,-3.893333e-05
4.500000e-08,-2.146667e-05
4.600000e-08,-3.600000e-06
4.700000e-08,-5.200000e-06
4.800000e-08,-1.666667e-06
4.900000e-08,2.066667e-05
5.000000e-08,3.493333e-05
5.100000e-08,5.880000e-05
5.200000e-08,9.053333e-05
5.300000e-08,9.046667e-05
5.400000e-08,1.150667e-04
5.500000e-08,1.544000e-04
5.600000e-08,1.414667e-04
5.700000e-08,1.178000e-04
5.800000e-08,1.254667e-04
5.900000e-08,1.473333e-04
6.000000e-08,1.430667e-04
6.100000e-08,1.216000e-04
6.200000e-08,1.251333e-04
6.300000e-08,1.325333e-04
6.400000e-08,1.331333e-04
6.500000e-08,1.274667e-04
6.600000e-08,1.261333e-04
6.700000e-08,1.370667e-04
6.800000e-08,1.506667e-04
6.900000e-08,1.500667e-04
7.000000e-08,1.408667e-04
7.100000e-08,1.392000e-04
7.200000e-08,1.410000e-04
7.300000e-08,1.190000e-04
7.400000e-08,1.108000e-04
7.500000e-08,1.215333e-04
7.600000e-08,1.272667e-04
7.700000e-08,1.258000e-04
7.800000e-08,1.252667e-04
7.900000e-08,1.220667e-04
8.000000e-08,1.248667e-04
8.100000e-08,1.311333e-04
8.200000e-08,1.305333e-04
8.300000e-08,1.244667e-04
8.400000e-08,1.242667e-04
8.500000e-08,1.248000e-04
8.600000e-08,1.374667e-04
8.700000e-08,1.493333e-04
8.800000e-08,1.460667e-04
8.900000e-08,1.448667e-04
9.000000e-08,1.406000e-04
9.100000e-08,1.395333e-04
9.200000e-08,1.408667e-04
9.300000e-08,1.343333e-04
9.400000e-08,1.325333e-04
9.500000e-08,1.232667e-04
9.600000e-08,1.100667e-04
9.700000e-08,1.234667e-04
9.800000e-08,1.279333e-04
9.900000e-08,1.286000e-04
1.000000e-07,1.409333e-04
1.010000e-07,1.298000e-04
1.020000e-07,1.168000e-04
1.030000e-07,1.255333e-04
1.040000e-07,1.342000e-04
1.050000e-07,1.197333e-04
1.060000e-07,1.061333e-04
1.070000e-07,1.225333e-04
1.080000e-07,1.380000e-04
1.090000e-07,1.282667e-04
1.100000e-07,1.176667e-04
1.110000e-07,9.760000e-05
1.120000e-07,9.633333e-05
1.130000e-07,1.142000e-04
1.140000e-07,1.096667e-04
1.150000e-07,9.946666e-05
1.160000e-07,1.215333e-04
1.170000e-07,1.310000e-04
1.180000e-07,1.088000e-04
1.190000e-07,1.000667e-04
1.200000e-07,1.018667e-04
1.210000e-07,8.313333e-05
1.220000e-07,8.546667e-05
1.230000e-07,9.640000e-05
1.240000e-07,7.980000e-05
1.250000e-07,8.173333e-05
1.260000e-07,9.626667e-05
1.270000e-07,9.373333e-05
1.280000e-07,8.100000e-05
1.290000e-07,8.346666e-05
1.300000e-07,7.633333e-05
1.310000e-07,7.213333e-05
1.320000e-07,7.853333e-05
1.330000e-07,7.153333e-05
1.340000e-07,6.293333e-05
1.350000e-07,6.426666e-05
1.360000e-07,5.453333e-05
1.370000e-07,4.240000e-05
1.380000e-07,4.393333e-05
1.390000e-07,5.473333e-05
1.400000e-07,6.180000e-05
1.410000e-07,5.560000e-05
1.420000e-07,5.186666e-05
1.430000e-07,5.420000e-05
1.440000e-07,5.586667e-05
1.450000e-07,4.306667e-05
1.460000e-07,2.746667e-05
1.470000e-07,2.646667e-05
1.480000e-07,4.960000e-05
1.490000e-07,6.120000e-05
1.500000e-07,5.960000e-05
1.510000e-07,5.426666e-05
1.520000e-07,4.153333e-05
1.530000e-07,4.073333e-05
1.540000e-07,5.166667e-05
1.550000e-07,6.473333e-05
1.560000e-07,6.246666e-05
1.570000e-07,7.286666e-05
1.580000e-07,8.760000e-05
1.590000e-07,8.333333e-05
1.600000e-07,7.313333e-05
1.610000e-07,7.813333e-05
1.620000e-07,8.253333e-05
1.630000e-07,8.900000e-05
1.640000e-07,9.460000e-05
1.650000e-07,9.660000e-05
1.660000e-07,9.233333e-05
1.670000e-07,1.092667e-04
1.680000e-07,1.109333e-04
1.690000e-07,8.726666e-05
1.700000e-07,8.906666e-05
1.710000e-07,9.760000e-05
1.720000e-07,9.413333e-05
1.730000e-07,9.586666e-05
1.740000e-07,1.028667e-04
1.750000e-07,1.038667e-04
1.760000e-07,9.753333e-05
1.770000e-07,9.593333e-05
1.780000e-07,1.019333e-04
1.790000e-07,1.019333e-04
1.800000e-07,8.933333e-05
1.810000e-07,8.913333e-05
1.820000e-07,9.333333e-05
1.830000e-07,1.047333e-04
1.840000e-07,1.145333e-04
1.850000e-07,1.080000e-04
1.860000e-07,1.154000e-04
1.870000e-07,1.178667e-04
1.880000e-07,1.038667e-04
1.890000e-07,1.054000e-04
1.900000e-07,1.142667e-04
1.910000e-07,1.162000e-04
1.920000e-07,1.147333e-04
1.930000e-07,1.231333e-04
1.940000e-07,1.050667e-04
1.950000e-07,1.008667e-04
1.960000e-07,1.186000e-04
1.970000e-07,1.080667e-04
1.980000e-07,9.833333e-05
1.990000e-07,1.210000e-04
2.000000e-07,1.273333e-04
2.010000e-07,1.089333e-04
2.020000e-07,9.906667e-05
2.030000e-07,1.062667e-04
2.040000e-07,9.426667e-05
2.050000e-07,8.866667e-05
2.060000e-07,1.024000e-04
2.070000e-07,9.906667e-05
2.080000e-07,9.106666e-05
2.090000e-07,9.913333e-05
2.100000e-07,1.029333e-04
2.110000e-07,1.014667e-04
2.120000e-07,1.202667e-04
2.130000e-07,1.256000e-04
2.140000e-07,1.160667e-04
2.150000e-07,1.136000e-04
2.160000e-07,1.229333e-04
2.170000e-07,1.209333e-04
2.180000e-07,1.240000e-04
2.190000e-07,1.301333e-04
2.200000e-07,1.238000e-04
2.210000e-07,1.081333e-04
2.220000e-07,1.152667e-04
2.230000e-07,1.195333e-04
2.240000e-07,1.182000e-04
2.250000e-07,1.180667e-04
2.260000e-07,1.203333e-04
2.270000e-07,1.203333e-04
2.280000e-07,1.166000e-04
2.290000e-07,1.067333e-04
2.300000e-07,1.039333e-04
2.310000e-07,1.063333e-04
2.320000e-07,1.032667e-04
2.330000e-07,1.074667e-04
2.340000e-07,1.185333e-04
2.350000e-07,1.230667e-04
2.360000e-07,1.052667e-04
2.370000e-07,9.706667e-05
2.380000e-07,1.042667e-04
2.390000e-07,1.108667e-04
2.400000e-07,1.128667e-04
2.410000e-07,9.346667e-05
2.420000e-07,8.166667e-05
2.430000e-07,8.086667e-05
2.440000e-07,8.186667e-05
2.450000e-07,8.766667e-05
2.460000e-07,9.940000e-05
2.470000e-07,1.051333e-04
2.480000e-07,9.866666e-05
2.490000e-07,9.579999e-05
2.500000e-07,9.780000e-05
2.510000e-07,1.021333e-04
2.520000e-07,1.025333e-04
2.530000e-07,1.075333e-04
2.540000e-07,1.125333e-04
2.550000e-07,1.081333e-04
2.560000e-07,1.132000e-04
2.570000e-07,1.245333e-04
2.580000e-07,1.108667e-04
2.590000e-07,1.096000e-04
2.600000e-07,1.150000e-04
2.610000e-07,1.108000e-04
2.620000e-07,1.216000e-04
2.630000e-07,1.260667e-04
2.640000e-07,1.091333e-04
2.650000e-07,1.039333e-04
2.660000e-07,1.154667e-04
2.670000e-07,1.155333e-04
2.680000e-07,1.023333e-04
2.690000e-07,1.192000e-04
2.700000e-07,1.338000e-04
2.710000e-07,1.295333e-04
2.720000e-07,1.214667e-04
2.730000e-07,1.177333e-04
2.740000e-07,1.149333e-04
2.750000e-07,1.199333e-04
2.760000e-07,1.261333e-04
2.770000e-07,1.237333e-04
2.780000e-07,1.242000e-04
2.790000e-07,1.330667e-04
2.800000e-07,1.371333e-04
2.810000e-07,1.234667e-04
2.820000e-07,1.180667e-04
2.830000e-07,1.345333e-04
2.840000e-07,1.256000e-04
2.850000e-07,1.104000e-04
2.860000e-07,1.244000e-04
2.870000e-07,1.238667e-04
2.880000e-07,1.163333e-04
2.890000e-07,1.329333e-04
2.900000e-07,1.396667e-04
2.910000e-07,1.337333e-04
2.920000e-07,1.322000e-04
2.930000e-07,1.282667e-04
2.940000e-07,1.168000e-04
2.950000e-07,1.222667e-04
2.960000e-07,1.273333e-04
2.970000e-07,1.174000e-04
2.980000e-07,1.094667e-04
2.990000e-07,1.006000e-04
3.000000e-07,8.106667e-05
3.010000e-07,7.953333e-05
3.020000e-07,8.920000e-05
3.030000e-07,8.813333e-05
3.040000e-07,8.713333e-05
3.050000e-07,9.826667e-05
3.060000e-07,9.679999e-05
3.070000e-07,9.126667e-05
3.080000e-07,9.833333e-05
3.090000e-07,1.047333e-04
3.100000e-07,1.087333e-04
3.110000e-07,1.087333e-04
3.120000e-07,1.193333e-04
3.130000e-07,1.110000e-04
3.140000e-07,1.004000e-04
3.150000e-07,9.953333e-05
3.160000e-07,8.940000e-05
3.170000e-07,7.633333e-05
3.180000e-07,7.786667e-05
3.190000e-07,7.326667e-05
3.200000e-07,7.506667e-05
3.210000e-07,9.346667e-05
3.220000e-07,9.366666e-05
3.230000e-07,8.986666e-05
3.240000e-07,9.666666e-05
3.250000e-07,8.840000e-05
3.260000e-07,9.366666e-05
3.270000e-07,1.026667e-04
3.280000e-07,1.024667e-04
3.290000e-07,1.033333e-04
3.300000e-07,1.045333e-04
3.310000e-07,1.063333e-04
3.320000e-07,1.065333e-04
3.330000e-07,1.197333e-04
3.340000e-07,1.164667e-04
3.350000e-07,1.033333e-04
3.360000e-07,1.117333e-04
3.370000e-07,1.066667e-04
3.380000e-07,8.033333e-05
